channel,band,comparison,beta,p,p_fdr,significant
F3,Alpha,ADHD vs TD,0.014289469297535325,0.9251036299910044,0.9999999352048242,False
F3,Alpha,COM vs TD,-0.03847206927995874,0.7943769508267209,0.9999999352048242,False
F3,Beta,ADHD vs TD,0.03942934288115292,0.7719842378988016,0.9999999352048242,False
F3,Beta,COM vs TD,-0.017648123236145834,0.8937455897237996,0.9999999352048242,False
F3,Gamma,ADHD vs TD,-1.980102915951972,0.999998684159565,0.9999999352048242,False
F3,Gamma,COM vs TD,-1.8145323163388198,0.9999987391653256,0.9999999352048242,False
F4,Delta,ADHD vs TD,0.10390217162432033,0.6095582739030448,0.9999999352048242,False
F4,Delta,COM vs TD,-0.012067169908019744,0.9512974404596837,0.9999999352048242,False
F4,Theta,ADHD vs TD,0.07761248041358045,0.606633912549954,0.9999999352048242,False
F4,Theta,COM vs TD,-0.008739848593011754,0.9523899439181897,0.9999999352048242,False
F4,Alpha,ADHD vs TD,-0.00236822727284532,0.9886552690701567,0.9999999352048242,False
F4,Alpha,COM vs TD,-0.07236919354391284,0.654547661579264,0.9999999352048242,False
F4,Beta,ADHD vs TD,0.014040988105980694,0.9301202442509641,0.9999999352048242,False
F4,Beta,COM vs TD,-0.12786477369169508,0.41087496681785984,0.9999999352048242,False
F4,Gamma,ADHD vs TD,0.09890897433703168,0.5932778234080852,0.9999999352048242,False
F4,Gamma,COM vs TD,-0.1442892971362116,0.4224027107471332,0.9999999352048242,False
F5,Delta,ADHD vs TD,-0.12349914236706797,0.9999999352048242,0.9999999352048242,False
F5,Delta,COM vs TD,0.4836233971709915,0.9999997346836546,0.9999999352048242,False
F5,Theta,ADHD vs TD,0.08566831396977861,0.46373809392972487,0.9999999352048242,False
F5,Theta,COM vs TD,0.09054365985742417,0.4252130916296112,0.9999999352048242,False
F5,Alpha,ADHD vs TD,0.01351150204506813,0.9145870620901554,0.9999999352048242,False
F5,Alpha,COM vs TD,0.049565836452064735,0.6853665582060237,0.9999999352048242,False
F5,Beta,ADHD vs TD,0.15698795645340777,0.26566000182622895,0.9999999352048242,False
F5,Beta,COM vs TD,0.12660918198671597,0.3552602258892148,0.9999999352048242,False
F5,Gamma,ADHD vs TD,0.2403118517408922,0.16574152229428152,0.9999999352048242,False
F5,Gamma,COM vs TD,0.09204867065564347,0.5846114330905383,0.9999999352048242,False
F6,Delta,ADHD vs TD,0.20621996178655477,0.1435788537899075,0.9999999352048242,False
F6,Delta,COM vs TD,0.0193888060349077,0.8874020134223211,0.9999999352048242,False
F6,Theta,ADHD vs TD,0.15652759850882433,0.23155005094827819,0.9999999352048242,False
F6,Theta,COM vs TD,0.00833430626665868,0.9476992741208065,0.9999999352048242,False
F6,Alpha,ADHD vs TD,0.04902877810140816,0.7418656567499361,0.9999999352048242,False
F6,Alpha,COM vs TD,-0.04651130216088992,0.7476269893906644,0.9999999352048242,False
F6,Beta,ADHD vs TD,-0.00725222318814023,0.9512773709820683,0.9999999352048242,False
F6,Beta,COM vs TD,-0.0699639960495568,0.5438255316852421,0.9999999352048242,False
F6,Gamma,ADHD vs TD,0.25523156089193755,0.9999998145751394,0.9999999352048242,False
F6,Gamma,COM vs TD,1.43355294747365,0.9999989110064816,0.9999999352048242,False
F7,Delta,ADHD vs TD,0.1720516007654564,0.25832597287231795,0.9999999352048242,False
F7,Delta,COM vs TD,0.13576513664853843,0.3584091127824778,0.9999999352048242,False
F7,Theta,ADHD vs TD,0.10635155515561197,0.37254335420531637,0.9999999352048242,False
F7,Theta,COM vs TD,0.028399937518776112,0.8063012132112527,0.9999999352048242,False
F7,Alpha,ADHD vs TD,0.011599470514385937,0.9281473145190993,0.9999999352048242,False
F7,Alpha,COM vs TD,-0.013249615382946832,0.9155284372435744,0.9999999352048242,False
F7,Beta,ADHD vs TD,0.0905408897114746,0.5459353117077959,0.9999999352048242,False
F7,Beta,COM vs TD,0.004351619386421509,0.9761570171029688,0.9999999352048242,False
F7,Gamma,ADHD vs TD,0.08234910616366911,0.5880899815754065,0.9999999352048242,False
F7,Gamma,COM vs TD,-0.04459308850322432,0.7626693462444133,0.9999999352048242,False
F8,Delta,ADHD vs TD,0.190527289868575,0.19557893791812198,0.9999999352048242,False
